creationDate,value
2024-05-25 23:30:45 -0500,25.5
2024-05-26 00:37:57 -0500,21
2024-05-26 00:43:49 -0500,20
2024-05-26 00:52:54 -0500,20
2024-05-26 01:02:59 -0500,18.5
2024-05-26 01:15:06 -0500,19
2024-05-26 01:25:15 -0500,20.5
2024-05-26 01:40:11 -0500,19
2024-05-26 01:45:08 -0500,19
2024-05-26 01:55:54 -0500,19
2024-05-26 02:10:24 -0500,19
2024-05-26 02:15:10 -0500,18
2024-05-26 02:24:15 -0500,19
2024-05-26 02:30:55 -0500,18.5
2024-05-26 02:45:07 -0500,17.5
2024-05-26 02:52:54 -0500,17.5
2024-05-26 03:08:46 -0500,17.5
2024-05-26 03:13:40 -0500,18
2024-05-26 03:22:41 -0500,16.5
2024-05-26 03:35:53 -0500,17.5
2024-05-26 03:45:16 -0500,17.5
2024-05-26 03:50:46 -0500,19.5
2024-05-26 04:09:15 -0500,16.5
2024-05-26 04:25:19 -0500,18.5
2024-05-26 04:40:19 -0500,20
2024-05-26 04:45:16 -0500,20
2024-05-26 04:53:19 -0500,17
2024-05-26 05:03:29 -0500,16.5
2024-05-26 05:15:21 -0500,17.5
2024-05-26 05:23:21 -0500,17
2024-05-26 05:31:19 -0500,18
2024-05-26 05:45:23 -0500,17
2024-05-26 05:52:05 -0500,17
2024-05-26 22:34:31 -0500,18.5
2024-05-26 22:45:34 -0500,16.5
2024-05-26 23:00:05 -0500,16
2024-05-26 23:07:18 -0500,17
2024-05-26 23:13:24 -0500,16.5
2024-05-26 23:23:13 -0500,17.5
2024-05-26 23:35:22 -0500,18
2024-05-26 23:45:39 -0500,17
2024-05-26 23:59:01 -0500,18
2024-05-27 20:30:42 -0500,23
2024-05-27 20:41:06 -0500,22.5
2024-05-27 20:53:38 -0500,24.5
2024-05-27 21:00:39 -0500,25
2024-05-27 21:30:35 -0500,24.5
2024-05-27 21:40:36 -0500,24
2024-05-27 22:01:59 -0500,24.5
2024-05-27 22:10:51 -0500,25
2024-05-27 22:20:48 -0500,24.5
2024-05-27 22:33:08 -0500,21
2024-05-27 22:41:07 -0500,22.5
2024-05-27 22:55:39 -0500,22.5
2024-05-27 23:00:37 -0500,22.5
2024-05-27 23:11:07 -0500,21.5
2024-05-27 23:22:19 -0500,22
2024-05-27 23:37:01 -0500,20
2024-05-27 23:41:07 -0500,18
2024-05-27 23:56:07 -0500,18.5
2024-05-28 00:01:21 -0500,18.5
2024-05-28 00:11:08 -0500,18.5
2024-05-28 00:25:48 -0500,19
2024-05-28 00:31:46 -0500,18
2024-05-28 00:41:08 -0500,17
2024-05-28 00:53:07 -0500,17.5
2024-05-28 01:06:01 -0500,18.5
2024-05-28 01:11:08 -0500,18
2024-05-28 01:22:27 -0500,18
2024-05-28 01:33:10 -0500,18
2024-05-28 01:41:09 -0500,18
2024-05-28 01:52:26 -0500,18
2024-05-28 02:03:02 -0500,18
2024-05-28 02:11:09 -0500,18
2024-05-28 02:23:32 -0500,19.5
2024-05-28 02:34:02 -0500,17.5
2024-05-28 02:41:13 -0500,18
2024-05-28 02:52:26 -0500,18
2024-05-28 03:03:28 -0500,19.5
2024-05-28 03:10:41 -0500,18.5
2024-05-28 03:20:43 -0500,19
2024-05-28 03:34:51 -0500,19.5
2024-05-28 03:41:35 -0500,20
2024-05-28 03:52:27 -0500,20
2024-05-28 04:00:41 -0500,20.5
2024-05-28 04:11:38 -0500,16.5
2024-05-28 04:20:43 -0500,19
2024-05-28 04:30:46 -0500,20.5
2024-05-28 04:51:34 -0500,22.5
2024-05-28 21:53:13 -0500,25
2024-05-28 22:03:15 -0500,24.5
2024-05-28 23:33:44 -0500,18.5
2024-05-28 23:44:36 -0500,19.5
2024-05-28 23:53:23 -0500,20
2024-05-29 00:07:26 -0500,20.5
2024-05-29 00:14:37 -0500,20
2024-05-29 00:29:37 -0500,20
2024-05-29 00:37:21 -0500,19
2024-05-29 00:44:37 -0500,20
2024-05-29 00:54:20 -0500,17
2024-05-29 01:09:39 -0500,17.5
2024-05-29 01:14:39 -0500,19.5
2024-05-29 01:26:47 -0500,20
2024-05-29 01:33:41 -0500,19
2024-05-29 01:44:40 -0500,17.5
2024-05-29 01:53:53 -0500,19
2024-05-29 02:04:28 -0500,17.5
2024-05-29 02:14:39 -0500,17.5
2024-05-29 02:24:44 -0500,16.5
2024-05-29 02:38:04 -0500,17
