creationDate,startDate,endDate
2018-11-10 10:00:56 -0500,2018-11-10 01:30:19 -0500,2018-11-10 10:00:51 -0500
2018-11-12 08:20:08 -0500,2018-11-12 01:59:40 -0500,2018-11-12 08:20:03 -0500
2018-11-13 08:40:13 -0500,2018-11-13 02:41:36 -0500,2018-11-13 08:40:08 -0500
2018-11-14 08:40:08 -0500,2018-11-14 01:30:00 -0500,2018-11-14 08:40:08 -0500
2018-11-15 08:10:07 -0500,2018-11-14 23:58:18 -0500,2018-11-15 08:10:02 -0500
2018-11-16 10:04:24 -0500,2018-11-16 03:25:35 -0500,2018-11-16 10:04:19 -0500
2018-11-17 08:12:37 -0500,2018-11-17 01:31:12 -0500,2018-11-17 08:12:32 -0500
2018-11-19 09:20:17 -0500,2018-11-19 03:11:12 -0500,2018-11-19 09:20:12 -0500
2018-11-19 09:20:17 -0500,2018-11-19 09:20:12 -0500,2018-11-19 09:20:12 -0500
2018-11-20 09:10:07 -0500,2018-11-20 09:05:32 -0500,2018-11-20 09:06:24 -0500
2018-11-21 09:12:00 -0500,2018-11-21 02:19:00 -0500,2018-11-21 09:11:54 -0500
2018-11-22 09:12:26 -0500,2018-11-22 03:18:36 -0500,2018-11-22 09:12:21 -0500
2018-11-24 08:00:21 -0500,2018-11-24 04:07:00 -0500,2018-11-24 07:44:40 -0500
2018-11-24 08:00:26 -0500,2018-11-24 04:07:00 -0500,2018-11-24 07:44:40 -0500
2018-11-24 08:00:21 -0500,2018-11-24 07:48:12 -0500,2018-11-24 07:48:40 -0500
2018-11-24 08:00:26 -0500,2018-11-24 07:48:12 -0500,2018-11-24 07:48:40 -0500
2018-11-24 08:00:21 -0500,2018-11-24 07:49:08 -0500,2018-11-24 07:49:36 -0500
2018-11-24 08:00:26 -0500,2018-11-24 07:49:08 -0500,2018-11-24 07:49:36 -0500
2018-11-24 08:00:21 -0500,2018-11-24 07:51:24 -0500,2018-11-24 07:52:12 -0500
2018-11-24 08:00:26 -0500,2018-11-24 07:51:24 -0500,2018-11-24 07:52:12 -0500
2018-11-24 08:00:21 -0500,2018-11-24 07:53:32 -0500,2018-11-24 08:00:16 -0500
2018-11-24 08:00:26 -0500,2018-11-24 07:53:32 -0500,2018-11-24 08:00:16 -0500
2018-11-26 09:30:05 -0500,2018-11-26 01:55:00 -0500,2018-11-26 08:41:36 -0500
2018-11-26 09:30:05 -0500,2018-11-26 08:42:16 -0500,2018-11-26 08:44:44 -0500
2018-11-26 09:30:05 -0500,2018-11-26 08:45:16 -0500,2018-11-26 08:50:20 -0500
2018-11-26 09:30:05 -0500,2018-11-26 08:50:20 -0500,2018-11-26 08:50:40 -0500
2018-11-26 09:30:05 -0500,2018-11-26 08:56:20 -0500,2018-11-26 09:14:20 -0500
2018-11-26 09:30:05 -0500,2018-11-26 09:14:24 -0500,2018-11-26 09:14:28 -0500
2018-11-26 09:30:05 -0500,2018-11-26 09:26:44 -0500,2018-11-26 09:30:04 -0500
2018-11-27 08:30:12 -0500,2018-11-27 00:07:31 -0500,2018-11-27 08:19:12 -0500
2018-11-27 08:30:12 -0500,2018-11-27 08:19:20 -0500,2018-11-27 08:19:24 -0500
2018-11-27 08:30:12 -0500,2018-11-27 08:19:44 -0500,2018-11-27 08:19:48 -0500
2018-11-28 09:30:16 -0500,2018-11-28 09:20:08 -0500,2018-11-28 09:30:11 -0500
2018-11-29 08:30:11 -0500,2018-11-29 02:10:32 -0500,2018-11-29 08:30:06 -0500
2018-12-06 07:05:09 -0500,2018-12-05 22:37:36 -0500,2018-12-06 07:03:44 -0500
2018-12-06 07:05:09 -0500,2018-12-06 07:03:56 -0500,2018-12-06 07:04:00 -0500
